state,pollster,candidate_preference,pct,sample_size,date
Alabama,Ipsos,Harris,55.94114700052887,914,2024-09-22
Alabama,The Washington Post,Trump,46.470354923047125,962,2024-08-13
Alabama,YouGov,Trump,43.401480183936656,678,2024-10-22
Alabama,Quinnipiac,Harris,53.426276926882565,1025,2024-07-28
Alabama,Quinnipiac,Trump,44.725557865574956,694,2024-08-09
Alabama,Quinnipiac,Harris,48.66004692111164,1437,2024-10-02
Alabama,Quinnipiac,Harris,51.408698020502925,1641,2024-10-14
Alabama,The Washington Post,Trump,54.74556248355657,1822,2024-09-08
Alabama,Ipsos,Trump,59.13388859201223,1752,2024-08-06
Alabama,YouGov,Trump,47.03990417718887,1767,2024-07-29
Alaska,Quinnipiac,Trump,49.18849343433976,1537,2024-08-24
Alaska,Siena/NYT,Harris,48.962862277403474,1897,2024-10-29
Alaska,YouGov,Trump,54.67495516408235,1164,2024-10-13
Alaska,Quinnipiac,Trump,54.29509621113539,1101,2024-09-21
Alaska,The Washington Post,Trump,56.62443957757205,1208,2024-09-15
Alaska,YouGov,Harris,57.73132241796702,1510,2024-08-05
Alaska,Siena/NYT,Harris,59.05289147980511,1614,2024-09-10
Alaska,Siena/NYT,Trump,51.01233443710953,1452,2024-10-18
Alaska,Siena/NYT,Harris,50.44671532232314,847,2024-10-27
Alaska,Quinnipiac,Trump,43.41396510601044,1516,2024-08-24
Arizona,Quinnipiac,Trump,49.585431199520826,1878,2024-09-12
Arizona,Ipsos,Harris,45.07641592994332,1339,2024-08-15
Arizona,The Washington Post,Harris,40.7956127403304,525,2024-08-02
Arizona,The Washington Post,Trump,52.69601019565016,1018,2024-08-25
Arizona,YouGov,Harris,50.791218280792236,1949,2024-09-05
Arizona,The Washington Post,Trump,42.802070998586714,710,2024-08-14
Arizona,The Washington Post,Harris,45.67423553671688,1431,2024-08-17
Arizona,YouGov,Harris,51.66061190422624,1092,2024-08-18
Arizona,Ipsos,Trump,43.30051784403622,1054,2024-10-05
Arizona,Ipsos,Harris,41.9260222138837,872,2024-09-02
Arkansas,The Washington Post,Trump,48.57226182706654,1343,2024-09-12
Arkansas,The Washington Post,Trump,47.11523131467402,1666,2024-10-13
Arkansas,The Washington Post,Trump,56.898670797236264,1043,2024-08-14
Arkansas,YouGov,Harris,45.20264947321266,989,2024-08-18
Arkansas,Quinnipiac,Harris,40.46288984362036,1404,2024-08-09
Arkansas,Ipsos,Harris,57.247990793548524,1436,2024-10-21
Arkansas,The Washington Post,Trump,46.69175922404975,1546,2024-08-02
Arkansas,Quinnipiac,Trump,52.63577743433416,1422,2024-10-05
Arkansas,YouGov,Harris,50.928525174967945,1455,2024-08-24
Arkansas,Quinnipiac,Trump,47.52888986375183,808,2024-09-13
California,YouGov,Harris,40.717460301704705,1658,2024-07-25
California,YouGov,Trump,45.578811823390424,1747,2024-09-14
California,The Washington Post,Trump,49.61547197122127,665,2024-10-05
California,Quinnipiac,Harris,47.41684702504426,716,2024-10-15
California,Quinnipiac,Harris,50.19242674391717,1813,2024-10-20
California,The Washington Post,Trump,51.58721862640232,1080,2024-09-02
California,Quinnipiac,Trump,46.73645746707916,571,2024-09-30
California,Ipsos,Trump,44.689132313244045,1087,2024-08-27
California,Ipsos,Harris,37.13667017687112,640,2024-08-13
California,Ipsos,Harris,37.073684551753104,1221,2024-10-08
Colorado,The Washington Post,Harris,59.89872880280018,1358,2024-10-03
Colorado,Ipsos,Harris,42.15773760341108,652,2024-10-15
Colorado,Quinnipiac,Trump,48.37338316719979,793,2024-10-22
Colorado,Ipsos,Trump,54.35769093222916,776,2024-10-24
Colorado,Siena/NYT,Harris,54.85078264493495,1986,2024-10-19
Colorado,Ipsos,Harris,57.439976474270225,540,2024-09-06
Colorado,The Washington Post,Harris,52.15735922101885,930,2024-08-04
Colorado,YouGov,Harris,55.12406702619046,589,2024-09-23
Colorado,The Washington Post,Trump,56.94482596125454,815,2024-09-12
Colorado,Quinnipiac,Trump,52.25559297949076,1746,2024-07-30
Connecticut,Quinnipiac,Trump,55.86448335554451,1027,2024-10-14
Connecticut,Siena/NYT,Harris,40.457093669101596,1639,2024-08-31
Connecticut,The Washington Post,Harris,48.33829099312425,1273,2024-10-28
Connecticut,The Washington Post,Trump,57.49764774926007,1246,2024-08-30
Connecticut,YouGov,Harris,52.94694031123072,955,2024-08-14
Connecticut,Siena/NYT,Harris,58.48957973532379,1097,2024-10-22
Connecticut,Ipsos,Trump,43.444501920603216,1562,2024-09-10
Connecticut,The Washington Post,Trump,46.31625578273088,1682,2024-08-26
Connecticut,Ipsos,Trump,56.085125585086644,1251,2024-08-16
Connecticut,Siena/NYT,Harris,59.779268223792315,1732,2024-10-01
Delaware,Ipsos,Trump,46.44771103747189,873,2024-10-11
Delaware,Ipsos,Harris,40.023832567967474,533,2024-08-24
Delaware,Siena/NYT,Trump,59.843412386253476,1015,2024-08-23
Delaware,YouGov,Trump,42.967047835700214,512,2024-09-21
Delaware,YouGov,Trump,40.98728594370186,568,2024-10-15
Delaware,Quinnipiac,Harris,51.94706965237856,1254,2024-10-04
Delaware,YouGov,Harris,46.42656886950135,908,2024-10-07
Delaware,Quinnipiac,Trump,50.558580006472766,1831,2024-09-07
Delaware,Ipsos,Harris,55.90844040736556,1801,2024-08-24
Delaware,YouGov,Trump,41.37865193653852,1612,2024-08-18
Florida,YouGov,Harris,53.90041394624859,1427,2024-09-29
Florida,The Washington Post,Trump,58.97263014689088,1505,2024-10-21
Florida,Quinnipiac,Harris,45.555386347696185,1036,2024-09-03
Florida,Quinnipiac,Harris,44.988131704740226,1482,2024-08-23
Florida,YouGov,Trump,43.18870960269123,790,2024-10-01
Florida,YouGov,Harris,41.43260112032294,1947,2024-09-05
Florida,The Washington Post,Harris,51.14875166211277,1809,2024-07-21
Florida,YouGov,Trump,49.79674103204161,1170,2024-07-30
Florida,YouGov,Harris,49.88584723789245,620,2024-08-30
Florida,The Washington Post,Trump,57.76743170339614,1633,2024-08-30
Georgia,The Washington Post,Harris,40.734087196178734,1681,2024-08-28
Georgia,Siena/NYT,Harris,44.07487627118826,1587,2024-10-15
Georgia,YouGov,Harris,50.275622783228755,2000,2024-07-26
Georgia,Quinnipiac,Harris,44.726797780022025,979,2024-08-21
Georgia,Ipsos,Trump,51.508713397197425,566,2024-10-31
Georgia,Quinnipiac,Harris,49.64515822939575,1513,2024-09-19
Georgia,Siena/NYT,Harris,51.387053774669766,1608,2024-10-08
Georgia,Quinnipiac,Harris,42.8830463020131,664,2024-10-18
Georgia,YouGov,Harris,42.91417525149882,1574,2024-08-05
Georgia,The Washington Post,Trump,48.24566225986928,1597,2024-07-22
Hawaii,YouGov,Harris,53.660205649212,1701,2024-08-23
Hawaii,YouGov,Harris,53.06855640839785,1885,2024-10-06
Hawaii,Quinnipiac,Harris,58.319726660847664,735,2024-08-19
Hawaii,Siena/NYT,Harris,56.262262649834156,1109,2024-08-17
Hawaii,YouGov,Trump,53.517800024710596,829,2024-10-13
Hawaii,Siena/NYT,Trump,56.14998218603432,1225,2024-10-15
Hawaii,The Washington Post,Harris,42.561288392171264,626,2024-09-16
Hawaii,YouGov,Trump,45.01557067967951,711,2024-08-19
Hawaii,Quinnipiac,Harris,46.63093983195722,1185,2024-10-17
Hawaii,Siena/NYT,Trump,48.14538579899818,1313,2024-08-28
Idaho,Siena/NYT,Harris,52.70735153928399,1833,2024-09-28
Idaho,YouGov,Trump,56.172240898013115,1430,2024-09-26
Idaho,The Washington Post,Harris,45.17602402716875,1377,2024-09-25
Idaho,YouGov,Harris,56.38934279792011,742,2024-09-04
Idaho,Ipsos,Harris,40.30955337919295,1346,2024-09-17
Idaho,YouGov,Trump,53.08801533188671,1636,2024-09-06
Idaho,Ipsos,Trump,56.23439168557525,1482,2024-07-30
Idaho,Siena/NYT,Trump,49.22737853601575,1118,2024-08-17
Idaho,The Washington Post,Harris,44.06834203284234,976,2024-10-04
Idaho,The Washington Post,Trump,40.37536434363574,650,2024-09-25
Illinois,Quinnipiac,Trump,45.66265394445509,1165,2024-07-21
Illinois,YouGov,Trump,58.305452512577176,1266,2024-09-02
Illinois,The Washington Post,Harris,58.673930410295725,659,2024-09-07
Illinois,YouGov,Trump,50.85063227452338,1914,2024-08-22
Illinois,Ipsos,Harris,44.388450919650495,654,2024-08-25
Illinois,The Washington Post,Trump,49.78855608031154,925,2024-08-02
Illinois,YouGov,Harris,56.022974723018706,1528,2024-10-07
Illinois,The Washington Post,Trump,48.152613155543804,825,2024-10-05
Illinois,YouGov,Trump,42.07423133775592,1803,2024-09-04
Illinois,The Washington Post,Trump,45.61130349524319,1288,2024-10-22
Indiana,Ipsos,Trump,47.22932441160083,1761,2024-08-07
Indiana,YouGov,Harris,45.184896821156144,1862,2024-09-08
Indiana,YouGov,Trump,49.41363667137921,1484,2024-10-31
Indiana,Siena/NYT,Harris,47.316909465007484,538,2024-08-15
Indiana,Quinnipiac,Harris,42.425441085360944,1321,2024-08-25
Indiana,Siena/NYT,Harris,40.93987361062318,1485,2024-08-25
Indiana,Quinnipiac,Harris,45.255926083773375,636,2024-09-14
Indiana,The Washington Post,Trump,59.37282335944474,954,2024-09-15
Indiana,Siena/NYT,Harris,49.76990964729339,1088,2024-07-23
Indiana,Ipsos,Harris,49.5564405946061,1606,2024-10-17
Iowa,Quinnipiac,Trump,54.97585762292147,538,2024-07-31
Iowa,YouGov,Trump,53.352804626338184,695,2024-09-09
Iowa,Quinnipiac,Trump,40.98831193521619,1179,2024-08-19
Iowa,YouGov,Harris,53.90210488811135,1809,2024-08-05
Iowa,YouGov,Trump,47.26523133460432,999,2024-07-31
Iowa,Siena/NYT,Trump,57.682672147639096,1484,2024-10-30
Iowa,Siena/NYT,Trump,55.50594459287822,843,2024-10-24
Iowa,YouGov,Trump,42.784072826616466,1833,2024-10-23
Iowa,The Washington Post,Trump,45.90018542483449,958,2024-10-29
Iowa,YouGov,Harris,42.52165570855141,1443,2024-09-24
Kansas,Siena/NYT,Harris,51.79803247563541,1543,2024-08-11
Kansas,The Washington Post,Harris,51.23351217713207,1371,2024-08-06
Kansas,YouGov,Harris,53.774422402493656,694,2024-07-25
Kansas,YouGov,Trump,46.22541618067771,1687,2024-10-07
Kansas,Siena/NYT,Trump,52.11173682939261,1575,2024-10-24
Kansas,Ipsos,Harris,59.82068637851626,1375,2024-09-20
Kansas,Quinnipiac,Trump,54.86409830395132,1033,2024-08-24
Kansas,YouGov,Harris,41.51714260689914,676,2024-10-19
Kansas,Quinnipiac,Trump,49.02337812818587,1053,2024-08-11
Kansas,Siena/NYT,Trump,41.07073869090527,1326,2024-09-21
Kentucky,YouGov,Trump,46.791110280901194,583,2024-10-17
Kentucky,Ipsos,Trump,54.67904297634959,1132,2024-08-04
Kentucky,Ipsos,Harris,40.082138809375465,1915,2024-08-24
Kentucky,The Washington Post,Harris,55.43818964622915,1825,2024-08-19
Kentucky,Siena/NYT,Harris,49.259504224173725,1096,2024-08-23
Kentucky,Ipsos,Harris,54.416807000525296,1205,2024-09-27
Kentucky,The Washington Post,Trump,53.33011434413493,1118,2024-09-27
Kentucky,The Washington Post,Trump,51.44147441256791,1953,2024-09-29
Kentucky,Siena/NYT,Harris,54.07625900115818,1209,2024-07-22
Kentucky,YouGov,Harris,53.144421209581196,1211,2024-10-08
Louisiana,Ipsos,Harris,45.787042900919914,1951,2024-08-12
Louisiana,Quinnipiac,Trump,41.94478911347687,1171,2024-10-15
Louisiana,Quinnipiac,Trump,59.248426421545446,1773,2024-10-16
Louisiana,Quinnipiac,Harris,54.726680582389235,1952,2024-08-10
Louisiana,Quinnipiac,Harris,52.25446937140077,1520,2024-10-10
Louisiana,Siena/NYT,Trump,42.39857761655003,897,2024-08-08
Louisiana,Siena/NYT,Harris,51.00518092978746,1512,2024-07-29
Louisiana,Quinnipiac,Harris,45.25512555614114,1027,2024-10-11
Louisiana,The Washington Post,Harris,57.967216623947024,880,2024-09-20
Louisiana,YouGov,Trump,40.18359891604632,539,2024-10-11
Maine,Siena/NYT,Trump,44.72469871863723,1021,2024-09-27
Maine,Siena/NYT,Harris,42.600891906768084,972,2024-09-03
Maine,Quinnipiac,Trump,46.52466293424368,699,2024-10-08
Maine,Quinnipiac,Harris,54.5279777655378,1648,2024-10-31
Maine,YouGov,Trump,59.834904707968235,764,2024-08-21
Maine,YouGov,Harris,54.30267055518925,1274,2024-09-06
Maine,Siena/NYT,Trump,50.08879621978849,685,2024-08-04
Maine,Siena/NYT,Harris,48.72095343656838,1775,2024-08-15
Maine,Siena/NYT,Trump,58.97650501225144,957,2024-08-09
Maine,The Washington Post,Harris,42.40362975280732,1675,2024-08-24
Maryland,The Washington Post,Trump,41.502903532236814,1330,2024-09-13
Maryland,Quinnipiac,Trump,57.780429855920374,1577,2024-08-20
Maryland,YouGov,Harris,48.48904190119356,1418,2024-08-13
Maryland,The Washington Post,Harris,40.84721357561648,734,2024-08-06
Maryland,Siena/NYT,Harris,52.9488428728655,1812,2024-09-29
Maryland,Quinnipiac,Harris,49.372383248992264,684,2024-09-15
Maryland,YouGov,Trump,52.358522466383874,912,2024-10-05
Maryland,The Washington Post,Trump,45.41630865074694,1126,2024-08-24
Maryland,Siena/NYT,Trump,43.14590573310852,1021,2024-09-16
Maryland,Ipsos,Harris,42.28508540429175,1832,2024-09-12
Massachusetts,YouGov,Harris,50.15365726314485,1577,2024-08-02
Massachusetts,YouGov,Harris,50.960645750164986,704,2024-10-06
Massachusetts,The Washington Post,Harris,42.81292378902435,1278,2024-09-26
Massachusetts,Siena/NYT,Trump,43.395381001755595,1063,2024-08-14
Massachusetts,YouGov,Harris,55.23970646318048,1293,2024-08-18
Massachusetts,Siena/NYT,Trump,50.5478988122195,1914,2024-09-11
Massachusetts,The Washington Post,Trump,57.21978715155274,908,2024-08-05
Massachusetts,Siena/NYT,Trump,53.4710997575894,1869,2024-08-30
Massachusetts,Ipsos,Trump,40.26082059368491,659,2024-07-29
Massachusetts,Ipsos,Harris,53.8639780273661,967,2024-08-26
Michigan,Siena/NYT,Trump,57.8342746431008,1419,2024-09-12
Michigan,YouGov,Trump,52.6370035065338,1580,2024-10-14
Michigan,Siena/NYT,Harris,42.14589309878647,956,2024-10-14
Michigan,The Washington Post,Harris,58.42130407691002,1116,2024-08-13
Michigan,Ipsos,Trump,53.50724762305617,856,2024-08-03
Michigan,Quinnipiac,Harris,42.97187425196171,778,2024-08-19
Michigan,The Washington Post,Trump,54.90683684591204,769,2024-09-20
Michigan,The Washington Post,Harris,58.85197723750025,1377,2024-08-29
Michigan,Siena/NYT,Trump,48.41566751245409,1145,2024-10-23
Michigan,The Washington Post,Trump,45.95446156337857,846,2024-08-28
Minnesota,Ipsos,Harris,45.188533402979374,1652,2024-10-29
Minnesota,YouGov,Trump,44.457626338116825,717,2024-09-30
Minnesota,The Washington Post,Harris,51.313086869195104,1117,2024-08-03
Minnesota,Siena/NYT,Trump,55.13300265651196,1197,2024-09-06
Minnesota,YouGov,Harris,53.39207091834396,836,2024-09-23
Minnesota,Quinnipiac,Harris,50.93045588582754,1296,2024-08-12
Minnesota,Ipsos,Trump,56.22927315533161,525,2024-08-15
Minnesota,Quinnipiac,Trump,55.18333604093641,1038,2024-09-04
Minnesota,Siena/NYT,Harris,40.401369323953986,1480,2024-08-12
Minnesota,Siena/NYT,Trump,47.61807400267571,1455,2024-10-23
Mississippi,YouGov,Trump,41.017602272331715,1223,2024-09-21
Mississippi,The Washington Post,Trump,55.95805874560028,1913,2024-08-10
Mississippi,The Washington Post,Trump,58.47398426383734,1745,2024-10-09
Mississippi,Quinnipiac,Harris,50.85196740925312,1170,2024-08-28
Mississippi,The Washington Post,Trump,57.047292003408074,1360,2024-09-29
Mississippi,The Washington Post,Trump,51.67125726584345,1156,2024-09-03
Mississippi,Ipsos,Trump,53.366472870111465,1459,2024-09-05
Mississippi,The Washington Post,Harris,50.22629193030298,1944,2024-10-04
Mississippi,The Washington Post,Harris,55.25501178577542,1580,2024-10-24
Mississippi,YouGov,Trump,58.0672457581386,1159,2024-09-04
Missouri,YouGov,Harris,56.409490243531764,662,2024-10-11
Missouri,Ipsos,Trump,41.42863699235022,737,2024-09-18
Missouri,Ipsos,Trump,40.07792686112225,1077,2024-10-11
Missouri,Quinnipiac,Harris,41.043972317129374,829,2024-10-17
Missouri,Ipsos,Trump,57.33120359480381,1748,2024-08-06
Missouri,YouGov,Trump,51.52490337844938,1912,2024-07-29
Missouri,The Washington Post,Harris,46.276851440779865,616,2024-08-12
Missouri,The Washington Post,Harris,59.189315675757825,1147,2024-08-20
Missouri,Quinnipiac,Trump,51.82387514039874,1578,2024-08-27
Missouri,YouGov,Harris,50.62818671576679,1740,2024-08-22
Montana,The Washington Post,Trump,47.67873343080282,1096,2024-10-08
